Id,SalePrice
1461,125716.359375
1462,161017.171875
1463,176926.96875
1464,183788.171875
1465,186730.53125
1466,178999.359375
1467,172636.15625
1468,165433.171875
1469,181009.65625
1470,124285.3359375
1471,200723.078125
1472,96734.828125
1473,95085.171875
1474,153229.78125
1475,131634.046875
1476,382713.625
1477,252210.828125
1478,303322.90625
1479,274853.53125
1480,506050.65625
1481,322022.34375
1482,214100.96875
1483,167799.796875
1484,167071.078125
1485,180505.03125
1486,192976.890625
1487,350490.78125
1488,245315.875
1489,197924.265625
1490,222040.046875
1491,190295.484375
1492,97078.4375
1493,195057.359375
1494,302566.125
1495,297154.375
1496,222059.40625
1497,174144.109375
1498,157754.15625
1499,162218.796875
1500,146254.78125
1501,168706.515625
1502,156876.625
1503,292869.09375
1504,222989.703125
1505,213485.296875
1506,197675.8125
1507,237207.890625
1508,188519.5625
1509,160026.40625
1510,144637.359375
1511,142002.96875
1512,174999.03125
1513,147516.921875
1514,189503.015625
1515,207012.625
1516,169095.1875
1517,153180.21875
1518,131197.6875
1519,224221.546875
1520,134764.78125
1521,135381.03125
1522,172572.03125
1523,104722.890625
1524,126417.953125
1525,125693.5
1526,126310.1953125
1527,104370.0859375
1528,138176.953125
1529,145789.0625
1530,182850.0
1531,105472.59375
1532,113924.765625
1533,148969.078125
1534,121081.4765625
1535,157487.53125
1536,114763.015625
1537,80048.7890625
1538,183172.390625
1539,200712.46875
1540,96122.828125
1541,150897.890625
1542,134708.359375
1543,234043.578125
1544,90121.828125
1545,111188.40625
1546,124779.8203125
1547,130820.9765625
1548,131328.53125
1549,107043.3125
1550,139234.40625
1551,122058.1640625
1552,138414.375
1553,167021.484375
1554,107022.7890625
1555,173328.1875
1556,84812.4609375
1557,112764.5625
1558,91691.8125
1559,86204.859375
1560,138225.4375
1561,146631.203125
1562,131712.828125
1563,122415.8203125
1564,161068.515625
1565,146022.609375
1566,223706.53125
1567,76128.4296875
1568,209888.3125
1569,121792.75
1570,125048.0546875
1571,125546.5859375
1572,150885.09375
1573,254399.546875
1574,116006.625
1575,221612.0
1576,216552.21875
1577,196418.203125
1578,152180.109375
1579,146787.96875
1580,194338.671875
1581,149553.96875
1582,129392.4375
1583,349309.40625
1584,230086.65625
1585,137759.515625
1586,87618.328125
1587,100598.7578125
1588,143231.53125
1589,107564.4453125
1590,132168.859375
1591,92978.2890625
1592,123784.0
1593,135434.0625
1594,125117.0
1595,111424.9140625
1596,234126.296875
1597,177258.03125
1598,200208.078125
1599,193299.984375
1600,190201.046875
1601,77108.1015625
1602,104669.1953125
1603,95830.4765625
1604,282667.1875
1605,245736.921875
1606,164640.484375
1607,170208.859375
1608,226050.109375
1609,194732.3125
1610,157782.1875
1611,145295.296875
1612,168778.453125
1613,163055.390625
1614,123490.5859375
1615,89004.5859375
1616,66748.671875
1617,93103.015625
1618,129297.828125
1619,139576.578125
